Name,Link,latitudine,longitudine
Global,https://open.spotify.com/playlist/37i9dQZEVXbMDoHDwVN2tF,0,0
Saudi Arabia,https://open.spotify.com/playlist/37i9dQZEVXbLrQBcXqUtaC,24.6877300,46.7218500
Argentina,https://open.spotify.com/playlist/37i9dQZEVXbMMy2roB9myp,-34.6131500,-58.3772300
Australia,https://open.spotify.com/playlist/37i9dQZEVXbJPcfkRz0wJ0,-35.2834600,149.1280700
Austria,https://open.spotify.com/playlist/37i9dQZEVXbKNHh6NIXu36,48.2084900,16.3720800
Belgium,https://open.spotify.com/playlist/37i9dQZEVXbJNSeeHswcKB,50.8504500,4.3487800
Belarus,https://open.spotify.com/playlist/37i9dQZEVXbIYfjSLbWr4V,53.9000000,27.5666700
Bolivia,https://open.spotify.com/playlist/37i9dQZEVXbJqfMFK4d691,-19.0333200,-65.2627400
Brazil,https://open.spotify.com/playlist/37i9dQZEVXbMXbN3EUUhlg,-15.7797200,-47.9297200
Bulgaria,https://open.spotify.com/playlist/37i9dQZEVXbNfM2w2mq1B8,42.6975100,23.3241500
Canada,https://open.spotify.com/playlist/37i9dQZEVXbKj23U1GF4IR,45.4111700,-75.6981200
Czechia,https://open.spotify.com/playlist/37i9dQZEVXbIP3c3fqVrJY,50.0880400,14.4207600
Chile,https://open.spotify.com/playlist/37i9dQZEVXbL0GavIqMTeb,-33.4569400,-70.6482700
Colombia,https://open.spotify.com/playlist/37i9dQZEVXbOa2lmxNORXQ,4.6097100,-74.0817500
Korea,https://open.spotify.com/playlist/37i9dQZEVXbNxXF4SkHj9F,37.5660000,126.9784000
Costa Rica,https://open.spotify.com/playlist/37i9dQZEVXbMZAjGMynsQX,9.9333300,-84.0833300
Denmark,https://open.spotify.com/playlist/37i9dQZEVXbL3J0k32lWnN,55.6759400,12.5655300
Ecuador,https://open.spotify.com/playlist/37i9dQZEVXbJlM6nvL1nD1,-0.2298500,-78.5249500
Egypt,https://open.spotify.com/playlist/37i9dQZEVXbLn7RQmT5Xv2,30.0626300,31.2496700
El Salvador,https://open.spotify.com/playlist/37i9dQZEVXbLxoIml4MYkT,13.6893500,-89.1871800
United Arab Emirates,https://open.spotify.com/playlist/37i9dQZEVXbM4UZuIrvHvA,24.4666700,54.3666700
Estonia,https://open.spotify.com/playlist/37i9dQZEVXbLesry2Qw2xS,59.4369600,24.7535300
Philippines,https://open.spotify.com/playlist/37i9dQZEVXbNBz9cRCSFkY,14.6042000,120.9822000
Finland,https://open.spotify.com/playlist/37i9dQZEVXbMxcczTSoGwZ,60.1695200,24.9354500
France,https://open.spotify.com/playlist/37i9dQZEVXbIPWwFssbupI,48.8534100,2.3488000
Germany,https://open.spotify.com/playlist/37i9dQZEVXbJiZcmkrIHGU,52.5243700,13.4105300
Japan,https://open.spotify.com/playlist/37i9dQZEVXbKXQ4mDTEBXq,35.6895000,139.6917100
Greece,https://open.spotify.com/playlist/37i9dQZEVXbJqdarpmTJDL,37.9794500,23.7162200
Guatemala,https://open.spotify.com/playlist/37i9dQZEVXbLy5tBFyQvd4,14.6407200,-90.5132700
Honduras,https://open.spotify.com/playlist/37i9dQZEVXbJp9wcIM9Eo5,14.0818000,-87.2068100
India,https://open.spotify.com/playlist/37i9dQZEVXbLZ52XmnySJg,28.6357600,77.2244500
Indonesia,https://open.spotify.com/playlist/37i9dQZEVXbObFQZ3JLcXt,-6.2146200,106.8451300
Ireland,https://open.spotify.com/playlist/37i9dQZEVXbKM896FDX8L1,53.3330600,-6.2488900
Iceland,https://open.spotify.com/playlist/37i9dQZEVXbKMzVsSGQ49S,64.1354800,-21.8954100
Israel,https://open.spotify.com/playlist/37i9dQZEVXbJ6IpvItkve3,31.7690400,35.2163300
Italy,https://open.spotify.com/playlist/37i9dQZEVXbIQnj7RRhdSX,41.8919300,12.5113300
Kazakhstan,https://open.spotify.com/playlist/37i9dQZEVXbM472oKPNKzS,51.1801000,71.4459800
Latvia,https://open.spotify.com/playlist/37i9dQZEVXbJWuzDrTxbKS,56.9460000,24.1058900
Lithuania,https://open.spotify.com/playlist/37i9dQZEVXbMx56Rdq5lwc,54.6891600,25.2798000
Luxembourg,https://open.spotify.com/playlist/37i9dQZEVXbKGcyg6TFGx6,49.6116700,6.1300000
Malaysia,https://open.spotify.com/playlist/37i9dQZEVXbJlfUljuZExa,3.1412000,101.6865300
Morocco,https://open.spotify.com/playlist/37i9dQZEVXbJU9eQpX8gPT,34.0132500,-6.8325500
Mexico,https://open.spotify.com/playlist/37i9dQZEVXbO3qyFxbkOE1,19.4284700,-99.1276600
Nicaragua,https://open.spotify.com/playlist/37i9dQZEVXbISk8kxnzfCq,12.1328200,-86.2504000
Nigeria,https://open.spotify.com/playlist/37i9dQZEVXbKY7jLzlJ11V,9.0578500,7.4950800
Norway,https://open.spotify.com/playlist/37i9dQZEVXbJvfa0Yxg7E7,59.9127300,10.7460900
New Zealand,https://open.spotify.com/playlist/37i9dQZEVXbM8SIrkERIYl,-41.2866400,174.7755700
Netherlands,https://open.spotify.com/playlist/37i9dQZEVXbKCF6dqVpDkS,52.3740300,4.8896900
Pakistan,https://open.spotify.com/playlist/37i9dQZEVXbJkgIdfsJyTw,33.7214800,73.0432900
Panama,https://open.spotify.com/playlist/37i9dQZEVXbKypXHVwk1f0,8.9936000,-79.5197300
Paraguay,https://open.spotify.com/playlist/37i9dQZEVXbNOUPGj7tW6T,-25.3006600,-57.6359100
Peru,https://open.spotify.com/playlist/37i9dQZEVXbJfdy5b0KP7W,-12.0431800,-77.0282400
Poland,https://open.spotify.com/playlist/37i9dQZEVXbN6itCcaL3Tt,52.2297700,21.0117800
Portugal,https://open.spotify.com/playlist/37i9dQZEVXbKyJS56d1pgi,38.7166700,-9.1333300
Hong Kong,https://open.spotify.com/playlist/37i9dQZEVXbLwpL8TjsxOG,22.2855200,114.1576900
United Kingdom,https://open.spotify.com/playlist/37i9dQZEVXbLnolsZ8PSNw,51.5085300,-0.1257400
Dominican Republic,https://open.spotify.com/playlist/37i9dQZEVXbKAbrMR8uuf7,18.476389,-69.893333
Romania,https://open.spotify.com/playlist/37i9dQZEVXbNZbJ6TZelCq,44.4322500,26.1062600
Singapore,https://open.spotify.com/playlist/37i9dQZEVXbK4gjvS1FjPY,1.2896700,103.8500700
Slovakia,https://open.spotify.com/playlist/37i9dQZEVXbKIVTPX9a2Sb,48.1481600,17.1067400
Spain,https://open.spotify.com/playlist/37i9dQZEVXbNFJfN1Vw8d9,40.4165000,-3.7025600
United States,https://open.spotify.com/playlist/37i9dQZEVXbLRQDuF5jeBp,38.8951100,-77.0363700
South Africa,https://open.spotify.com/playlist/37i9dQZEVXbMH2jvi6jvjk,-25.7448600,28.1878300
Sweden,https://open.spotify.com/playlist/37i9dQZEVXbLoATJ81JYXz,59.3325800,18.0649000
Switzerland,https://open.spotify.com/playlist/37i9dQZEVXbJiyhoAPEfMK,46.9480900,7.4474400
Taiwan,https://open.spotify.com/playlist/37i9dQZEVXbMnZEatlMSiu,25.0477600,121.5318500
Thailand,https://open.spotify.com/playlist/37i9dQZEVXbMnz8KIWsvf9,13.7539800,100.5014400
Turkey,https://open.spotify.com/playlist/37i9dQZEVXbIVYVBNw9D5K,39.9198700,32.8542700
Ukraine,https://open.spotify.com/playlist/37i9dQZEVXbKkidEfWYRuD,50.4546600,30.5238000
Hungary,https://open.spotify.com/playlist/37i9dQZEVXbNHwMxAkvmF8,47.4980100,19.0399100
Uruguay,https://open.spotify.com/playlist/37i9dQZEVXbMJJi3wgRbAy,-34.9032800,-56.1881600
Venezuela,https://open.spotify.com/playlist/37i9dQZEVXbNLrliB10ZnX,10.4880100,-66.8791900
Viet Nam,https://open.spotify.com/playlist/37i9dQZEVXbLdGSmz6xilI,21.0245000,105.8411700






